Category,Brand,Item ID,Model,Description,Price,URL
French Door Refrigerators,GE,320243614,GFE26JYMFS,"25.6 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",1798.0,https://www.homedepot.com/p/GE-25-6-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GFE26JYMFS/320243614
French Door Refrigerators,Bosch,317143904,B36FD50SNS,"500 Series 26 cu ft 3-Door French Door Refrigerator in Stainless Steel w/ Ice and Water, Bottom Freezer, Standard Depth",2498.0,https://www.homedepot.com/p/Bosch-500-Series-26-cu-ft-3-Door-French-Door-Refrigerator-in-Stainless-Steel-w-Ice-and-Water-Bottom-Freezer-Standard-Depth-B36FD50SNS/317143904
French Door Refrigerators,LG Electronics,302253240,LMXS28626S,28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,2098.0,https://www.homedepot.com/p/LG-Electronics-28-cu-ft-4-Door-French-Door-Smart-Refrigerator-with-Ice-and-Water-Dispenser-in-PrintProof-Stainless-Steel-LMXS28626S/302253240
French Door Refrigerators,Samsung,319923732,RF30BB6600QL,"Bespoke 30 cu. ft. 3-Door French Door Smart Refrigerator with Beverage Center in Stainless Steel, Standard Depth",2098.0,https://www.homedepot.com/p/Samsung-Bespoke-30-cu-ft-3-Door-French-Door-Smart-Refrigerator-with-Beverage-Center-in-Stainless-Steel-Standard-Depth-RF30BB6600QL/319923732
French Door Refrigerators,Samsung,315868024,RF18A5101SR,"33 in. 17.5 cu. ft. Counter Depth French Door Refrigerator in Stainless Steel with Door Alarm, Hidden Hinge",1298.0,https://www.homedepot.com/p/Samsung-33-in-17-5-cu-ft-Counter-Depth-French-Door-Refrigerator-in-Stainless-Steel-with-Door-Alarm-Hidden-Hinge-RF18A5101SR/315868024
French Door Refrigerators,Bosch,314916227,B36CD50SNS,500 Series 21.6 cu ft 3-Door French Door Counter Depth Smart Refrigerator in Stainless Steel w/ Fastest Ice Maker/Water,2968.0,https://www.homedepot.com/p/Bosch-500-Series-21-6-cu-ft-3-Door-French-Door-Counter-Depth-Smart-Refrigerator-in-Stainless-Steel-w-Fastest-Ice-Maker-Water-B36CD50SNS/314916227
French Door Refrigerators,LG,314145556,LRFCS25D3S,33 in. W 25 cu. ft. French Door Refrigerator with Ice Maker in PrintProof Stainless Steel,1398.0,https://www.homedepot.com/p/LG-33-in-W-25-cu-ft-French-Door-Refrigerator-with-Ice-Maker-in-PrintProof-Stainless-Steel-LRFCS25D3S/314145556
French Door Refrigerators,Frigidaire,318840093,FRFG1723AV,"31.5 in. 17.6 cu. ft. Counter Depth French Door Refrigerator, brushed steel",1398.0,https://www.homedepot.com/p/Frigidaire-31-5-in-17-6-cu-ft-Counter-Depth-French-Door-Refrigerator-brushed-steel-FRFG1723AV/318840093
French Door Refrigerators,Whirlpool,313803342,WRQA59CNKZ,"36 in. 19.4 cu. ft. 4-Door French Door Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth",1548.0,https://www.homedepot.com/p/Whirlpool-36-in-19-4-cu-ft-4-Door-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-WRQA59CNKZ/313803342
French Door Refrigerators,LG Electronics,312285857,LRMDS3006S,"30 cu. ft. 4-Door French Door Refrigerator, Door-In-Door, Full-Convert Drawer, Craft Ice in PrintProof Stainless Steel",2998.0,https://www.homedepot.com/p/LG-Electronics-30-cu-ft-4-Door-French-Door-Refrigerator-Door-In-Door-Full-Convert-Drawer-Craft-Ice-in-PrintProof-Stainless-Steel-LRMDS3006S/312285857
